slug,name,drugbank_id,license_id,evidence_level,indication_count,original_indication,predicted_indication,txgnn_score,thailand_approved,decision,url
amlodipine,Amlodipine,DB00381,1A 1/67,L4,10,"ความดันโลหิตสูง, โรคหลอดเลือดหัวใจ",obsolete susceptibility to ischemic stroke,0.9997,True,รอหลักฐานเพิ่มเติม,/drugs/amlodipine/
atenolol,Atenolol,DB00335,1A 2/67,L4,10,"ความดันโลหิตสูง, โรคหัวใจ",myocardial infarction,0.9987,True,รอหลักฐานเพิ่มเติม,/drugs/atenolol/
bisoprolol,Bisoprolol,DB00612,1A 3/67,L4,10,"ความดันโลหิตสูง, หัวใจล้มเหลว",malignant renovascular hypertension,0.9994,True,รอหลักฐานเพิ่มเติม,/drugs/bisoprolol/
captopril,Captopril,DB01197,1A 4/67,L4,10,"ความดันโลหิตสูง, หัวใจล้มเหลว",malignant renovascular hypertension,0.9928,True,รอหลักฐานเพิ่มเติม,/drugs/captopril/
carvedilol,Carvedilol,DB01136,1A 5/67,L4,10,"ความดันโลหิตสูง, หัวใจล้มเหลว",malignant renovascular hypertension,0.9955,True,รอหลักฐานเพิ่มเติม,/drugs/carvedilol/
digoxin,Digoxin,DB00390,1A 6/67,L4,10,"หัวใจล้มเหลว, หัวใจเต้นผิดจังหวะ",Prinzmetal angina,0.9981,True,รอหลักฐานเพิ่มเติม,/drugs/digoxin/
diltiazem,Diltiazem,DB00343,1A 7/67,L4,10,"ความดันโลหิตสูง, โรคหัวใจขาดเลือด",Prinzmetal angina,0.9994,True,รอหลักฐานเพิ่มเติม,/drugs/diltiazem/
enalapril,Enalapril,DB00584,1A 8/67,L4,10,"ความดันโลหิตสูง, หัวใจล้มเหลว",congestive heart failure,0.9927,True,รอหลักฐานเพิ่มเติม,/drugs/enalapril/
furosemide,Furosemide,DB00695,1A 9/67,L5,10,"บวมน้ำ, หัวใจล้มเหลว",malignant renovascular hypertension,0.9803,True,รอหลักฐานเพิ่มเติม,/drugs/furosemide/
hydrochlorothiazide,Hydrochlorothiazide,DB00999,1A 10/67,L5,10,"ความดันโลหิตสูง, บวมน้ำ",malignant hypertensive renal disease,0.9842,True,รอหลักฐานเพิ่มเติม,/drugs/hydrochlorothiazide/
isosorbidedinitrate,Isosorbidedinitrate,DB00883,1A 11/67,L4,10,โรคหัวใจขาดเลือด,alopecia,0.9999,True,รอหลักฐานเพิ่มเติม,/drugs/isosorbidedinitrate/
lisinopril,Lisinopril,DB00722,1A 12/67,L4,10,"ความดันโลหิตสูง, หัวใจล้มเหลว",myocardial infarction,0.9992,True,รอหลักฐานเพิ่มเติม,/drugs/lisinopril/
losartan,Losartan,DB00678,1A 13/67,L4,10,"ความดันโลหิตสูง, โรคไตจากเบาหวาน",malignant renovascular hypertension,0.9973,True,รอหลักฐานเพิ่มเติม,/drugs/losartan/
metoprolol,Metoprolol,DB00264,1A 14/67,L4,10,"ความดันโลหิตสูง, โรคหัวใจ",hypertensive disorder,0.9992,True,รอหลักฐานเพิ่มเติม,/drugs/metoprolol/
nifedipine,Nifedipine,DB01115,1A 15/67,L5,10,"ความดันโลหิตสูง, โรคหัวใจขาดเลือด",Prinzmetal angina,0.9362,True,รอหลักฐานเพิ่มเติม,/drugs/nifedipine/
propranolol,Propranolol,DB00571,1A 16/67,L4,10,"ความดันโลหิตสูง, หัวใจเต้นเร็ว","distal myopathy, Tateyama type",0.9940,True,รอหลักฐานเพิ่มเติม,/drugs/propranolol/
spironolactone,Spironolactone,DB00421,1A 17/67,L4,10,"บวมน้ำ, หัวใจล้มเหลว",hypotrichosis simplex of the scalp,0.9926,True,รอหลักฐานเพิ่มเติม,/drugs/spironolactone/
verapamil,Verapamil,DB00661,1A 18/67,L4,10,"ความดันโลหิตสูง, หัวใจเต้นผิดจังหวะ",Prinzmetal angina,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/verapamil/
atorvastatin,Atorvastatin,DB01076,1A 19/67,L4,10,ไขมันในเลือดสูง,homozygous familial hypercholesterolemia,0.9995,True,รอหลักฐานเพิ่มเติม,/drugs/atorvastatin/
simvastatin,Simvastatin,DB00641,1A 20/67,L4,10,ไขมันในเลือดสูง,homozygous familial hypercholesterolemia,0.9998,True,รอหลักฐานเพิ่มเติม,/drugs/simvastatin/
pravastatin,Pravastatin,DB00175,1A 21/67,L4,10,ไขมันในเลือดสูง,homozygous familial hypercholesterolemia,0.9995,True,รอหลักฐานเพิ่มเติม,/drugs/pravastatin/
clopidogrel,Clopidogrel,DB00758,1A 23/67,L4,10,ป้องกันลิ่มเลือด,migraine with brainstem aura,0.9944,True,รอหลักฐานเพิ่มเติม,/drugs/clopidogrel/
